publisheth	publishes	1	ok
erreth	errs	1	ok
leapeth	leaps	1	ok
adorneth	adorns	1	ok
bubbleth	bubbles	1	ok
laugheth	laughs	1	ok
overfloweth	overflows	1	ok
disposeth	disposes	1	ok
allureth	allures	1	ok
upholdeth	upholds	1	ok
enlargeth	enlarges	1	ok
suppresseth	suppresses	1	ok
supplanteth	supplants	1	ok
fretteth	frets	1	curated
chaseth	chases	1	ok
weigheth	weighs	1	ok
refresheth	refreshes	1	ok
singeth	sings	1	ok (corpus sing:110 vs singe:0)
meddleth	meddles	1	ok
rolleth	rolls	1	ok
wandereth	wanders	1	ok
retaineth	retains	1	ok
praiseth	praises	1	ok
deferreth	defers	1	ok
grindeth	grinds	1	ok
mocketh	mocks	1	ok
wipeth	wipes	1	ok
supporteth	supports	1	ok
squeezeth	squeezes	1	ok
straineth	strains	1	ok
foldeth	folds	1	ok
displeaseth	displeases	1	ok
backbiteth	backbites	1	ok
belieth	belies	1	curated
divulgeth	divulges	1	ok
abstaineth	abstains	1	ok
preferreth	prefers	1	ok
triumpheth	triumphs	1	ok
obscureth	obscures	1	ok
overturneth	overturns	1	ok
preventeth	prevents	1	ok
awaketh	awakes	1	ok
hindereth	hinders	1	ok
reneweth	renews	1	ok
conveyeth	conveys	1	ok
ordereth	orders	1	ok
museth	muses	1	curated
smoketh	smokes	1	ok
carveth	carves	1	ok
petitioneth	petitions	1	ok
punisheth	punishes	1	ok
enticeth	entices	1	ok
counteth	counts	1	ok
borroweth	borrows	1	ok
forecasteth	forecasts	1	ok
angereth	angers	1	ok
inspireth	inspires	1	ok
rusteth	rusts	1	ok
weepeth	weeps	1	ok
pretendeth	pretends	1	ok
traceth	traces	1	ok
stayeth	stays	1	irregular
slippeth	slips	1	ok
submitteth	submits	1	ok
glueth	glues	1	ok
flingeth	flings	1	ok
darkeneth	darkens	1	ok
sifteth	sifts	1	ok
discloseth	discloses	1	ok
forgeth	forges	1	ok
reserveth	reserves	1	ok
attributeth	attributes	1	ok
undertaketh	undertakes	1	ok
replenisheth	replenishes	1	ok
cleareth	clears	1	ok
neigheth	neighs	1	ok
fancieth	fancies	1	ok
approveth	approves	1	ok
pulleth	pulls	1	ok (corpus pull:16 vs pul:0)
washeth	washes	1	ok
fasteth	fasts	1	ok
tasteth	tastes	1	ok
skippeth	skips	1	ok
condoleth	condoles	1	ok
overwhelmeth	overwhelms	1	ok
varieth	varies	1	ok (corpus vary:1 vs vari:0)
wondereth	wonders	1	ok
blindeth	blinds	1	ok
decreaseth	decreases	1	ok
encompasseth	encompasses	1	ok
admireth	admires	1	ok
freezeth	freezes	1	ok
guideth	guides	1	ok
staggereth	staggers	1	ok
vomiteth	vomits	1	ok
spoileth	spoils	1	ok
swimmeth	swims	1	ok
gainsayeth	gainsays	1	ok
adhereth	adheres	1	ok
caresseth	caresses	1	ok
painteth	paints	1	ok
raveth	raves	1	ok
weakeneth	weakens	1	ok
forbeareth	forbears	1	ok
shaveth	shaves	1	ok
inquireth	inquires	1	ok
enhanceth	enhances	1	ok
visiteth	visits	1	ok (corpus visit:73 vs visite:0)
screaketh	screaks	1	ok
createth	creates	1	ok (corpus create:8 vs creat:0)
tarrieth	tarries	1	ok (corpus tarry:19 vs tarri:0)
gleaneth	gleans	1	ok
hunteth	hunts	1	ok
languisheth	languishes	1	ok
imagineth	imagines	1	ok
prevaileth	prevails	1	ok
bordereth	borders	1	ok
withdraweth	withdraws	1	ok
wisheth	wishes	1	ok
raineth	rains	1	ok
choketh	chokes	1	ok
seweth	sews	1	ok
dasheth	dashes	1	ok
gnasheth	gnashes	1	ok
pineth	pines	1	curated
rendeth	rends	1	ok
agreeth	agrees	1	irregular
seizeth	seizes	1	ok
throweth	throws	1	ok
teareth	tears	1	ok
lighteth	lights	1	ok
cumbereth	cumbers	1	ok
lighteneth	lightens	1	ok
betrayeth	betrays	1	ok
breatheth	breathes	1	curated
accuseth	accuses	1	ok
talketh	talks	1	ok
climbeth	climbs	1	ok
stinketh	stinks	1	ok
persuadeth	persuades	1	ok
termeth	terms	1	ok
reputeth	reputes	1	ok
contradicteth	contradicts	1	ok
perceiveth	perceives	1	ok
distinguisheth	distinguishes	1	ok
thrasheth	thrashes	1	ok
confirmeth	confirms	1	ok
manifesteth	manifests	1	ok
excelleth	excels	1	ok
transformeth	transforms	1	ok
lusteth	lusts	1	ok
supplieth	supplies	1	ok
cherisheth	cherishes	1	ok
opposeth	opposes	1	ok
entangleth	entangles	1	ok
limiteth	limits	1	ok
decayeth	decays	1	ok
scourgeth	scourges	1	ok
wavereth	wavers	1	ok
begetteth	begets	1	irregular
inflameth	inflames	1	ok
administereth	administers	1	ok
lingereth	lingers	1	ok
slumbereth	slumbers	1	ok
delayeth	delays	1	ok
cleanseth	cleanses	1	ok
dissolveth	dissolves	1	ok
overcameth	overcomes	1	curated
revolteth	revolts	1	ok
